"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"11.","1334","Зрењанин","Севернобанатски управни округ","Кикинда","Кикинда","Економско-трговинска школа","Доктора Зорана Ђинђића 7","23300","etski@mts.rs","(023)0422023","http://ekonomskaki.edu.rs","8037345","100507998","1958-06-10","Средње стручне школе","Државно","14","0","0","386","254","0","7","0","46","33.821700","61","48.321700"
"12.","1335","Зрењанин","Севернобанатски управни округ","Кикинда","Кикинда","Средња стручна школа Милош Црњански","Светосавска 57","23300","ssmiloscrnjanskiki@mts.rs","(0230)422056","http://miloscrnjanski.edu.rs","8114609","100709385","1977-08-31","Средње стручне школе","Државно","15","0","0","352","260","0","17","1","66","37.819000","79","50.979000"
"13.","1336","Зрењанин","Севернобанатски управни округ","Кикинда","Кикинда","Техничка школа","Светосавска 55","23300","skola@tsk.edu.rs","(023)422275","http://tsk.edu.rs","8114617","100507914","1977-08-31","Средње стручне школе","Државно","26","0","0","703","111","0","8","0","78","64.280200","99","89.030200"
"14.","1337","Зрењанин","Севернобанатски управни округ","Кањижа","Кањижа","Пољопривредно-технички средњошколски центар Беседеш Јожеф","Широка улица 70","24420","srednjaskola@kanjiza.rs","(024)874550","http://techniq.edu.rs","8123934","100871824","1965-07-31","Средње стручне школе","Државно","16","0","0","237","45","0","1","0","35","28.050400","52","45.550400"
"15.","1340","Зрењанин","Севернобанатски управни округ","Сента","Сента","Сенћанска гимназија","Главни трг 12","24400","gimnazijasenta135@gmail.com","(024)811751","http://gimnazija-senta.rs","8204071","101099825","1990-08-26","Гимназије","Државно","14","0","0","243","169","0","0","0","42","26.198600","56","40.198600"
"16.","1341","Зрењанин","Севернобанатски управни округ","Сента","Сента","Економско-трговинска школа Сента","Главни трг 12","24400","sekretarijat.ekonomska@gmail.com","(024)811549","http://www.ekonomska-skola.rs","8204063","101099833","1960-09-01","Средње стручне школе","Државно","12","0","0","240","181","1","0","0","39","24.666600","49","35.666600"
"17.","1342","Зрењанин","Севернобанатски управни округ","Чока","Чока","Хемијско-прехрамбена средња школа","Моше Пијаде 28","23320","info@hpscoka.edu.rs","(023)0471056","http://www.hpscoka.edu.rs","8204055","101417487","1978-01-27","Средње стручне школе","Државно","9","0","0","122","64","0","1","0","32","21.287300","41","31.287300"
"18.","1343","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Зрењанинска гимназија","Гимназијска 2","23101","gimnazijazr@zrenjaninskagimnazija.edu.rs","(023)5566633","http://www.zrenjaninskagimnazija.edu.rs","8069107","100903177","1846-10-06","Гимназије","Државно","40","0","0","1072","660","0","1","0","101","78.854600","123","103.354600"
"19.","1344","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Економско-трговинска школа Јован Трајковић","Скерлићева бб","23101","ekonomskazr@gmail.com","(023)561584","http://www.ekonomskazr.edu.rs","08114277","101165258","2002-10-21","Средње стручне школе","Државно","28","0","0","740","504","0","4","0","80","57.211000","95","72.861000"
"20.","1345","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Медицинска школа","Новосадска 2а","23000","medicinskaskolazr@gmail.com","(023)561413","http://www.medicinska-skola.edu.rs","8097194","101162464","2002-02-15","Средње стручне школе","Државно","15","0","0","437","353","0","0","0","97","57.397200","116","78.517200"
"21.","1346","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Пољопривредна школа","Македонска 2","23100","direktor@zrpoljoprivredna.edu.rs","(023)562189","http://www.zrpoljoprivredna.edu.rs","8069204","100654563","1956-09-28","Средње стручне школе","Државно","18","0","0","410","188","0","7","0","60","42.144500","83","66.644500"
"22.","1347","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Хемијско-прехрамбена и текстилна школа Урош Предић","Стевице Јовановића 46","23100","ssupredic@upzr.edu.rs","(023)561567","http://www.upzr.edu.rs","8113670","101162294","2002-02-15","Средње стручне школе","Државно","19","0","0","355","269","2","4","0","64","46.138800","82","66.592800"
"23.","1348","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Електротехничка и грађевинска школа Никола Тесла","Др Славка Жупанског 1","23000","direktor.teslazr@gmail.com","(023)511376","http://www.teslazr.edu.rs","8158177","100651874","1983-05-18","Средње стручне школе","Државно","30","0","0","805","117","0","4","0","98","63.931400","120","85.311400"
"24.","1349","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Техничка школа","Стевице Јовановића 50","23100","direktor@tehnickazr.edu.rs","(023)561277","http://tehnickazr.edu.rs","8069212","101161322","2010-12-23","Средње стручне школе","Државно","28","0","0","756","174","0","0","0","71","59.248300","92","82.748300"
"25.","1351","Зрењанин","Средњобанатски управни округ","Нова Црња","Српска Црња","Средња школа Ђурa Јакшић","Краља Александра 63","23220","sskola@mts.rs","(023)811041","http://www.ssdjurajaksic.edu.rs","8013535","101596197","1965-02-03","Средње стручне школе","Државно","8","0","0","174","100","0","4","0","31","19.796500","38","27.796500"
"26.","1352","Зрењанин","Средњобанатски управни округ","Нови Бечеј","Нови Бечеј","Средња школа","Маршала Тита 5","23272","srednjaskolanb@mts.rs","(023)771077","http://srednjaskolanovibecej.wordpress.com","8057907","101431092","1962-06-09","Средње стручне школе","Државно","13","0","0","268","113","0","4","0","41","25.090000","51","36.290000"
"27.","1353","Зрењанин","Средњобанатски управни округ","Сечањ","Сечањ","Средња школа Вук Караџић","Гимназијска 2","23240","srednjasecanj@gmail.com","(023)3841035","http://www.vukkaradzicsecanj.edu.rs","8018936","101356800","1964-02-18","Средње стручне школе","Државно","11","0","0","210","93","3","1","0","34","20.122500","40","27.622500"
"28.","1354","Зрењанин","Јужнобанатски управни округ","Алибунар","Алибунар","Економско-трговинска школа Доситеј Обрадовић","Вука Караџића 2","26310","etsalibunar@madnet.rs","(013)641036","http://ekonomskaalibunar.wordpress.com","8044597","101084903","1964-03-27","Средње стручне школе","Државно","11","0","0","222","120","2","5","0","33","19.374200","40","29.374200"
"29.","1355","Зрењанин","Јужнобанатски управни округ","Бела Црква","Бела Црква","Белоцркванска гимназија и економска школа","Јована Цвијића 11","26340","gimekobc@gmail.com","(013)853475","http://www.belocrkvanskagimnazija.edu.rs","8228965","100865914","1994-01-31","Средње стручне школе","Државно","8","0","0","171","96","0","3","0","30","15.824400","37","24.314400"
"30.","1356","Зрењанин","Јужнобанатски управни округ","Бела Црква","Бела Црква","Техничка школа Сава Мунћан","Јована Цвијића 7","26340","tssmbcrkva@mts.rs","(013)851178","http://www.tehnickaskolabc.edu.rs","8115133","100868087","1996-09-09","Средње стручне школе","Државно","12","0","0","269","93","2","26","0","42","27.260500","56","41.550500"
"31.","1357","Зрењанин","Јужнобанатски управни округ","Вршац","Вршац","Гимназија Борислав Петров Браца","Михајла Пупина 1","26300","administracija@vrsackagimnazija.edu.rs","(013)836448","http://vrsackagimnazija.edu.rs","8060967","102084189","1977-10-01","Гимназије","Државно","20","0","0","523","330","0","0","0","54","40.627300","68","54.127300"
"32.","1358","Зрењанин","Јужнобанатски управни округ","Вршац","Вршац","Пољопривредна школа Вршац","Архитекте Брашована 1","26300","bioskola@gmail.com","(013)805058","http://bioskola.edu.rs","8044627","100913773","1921-09-01","Средње стручне школе","Државно","17","0","0","414","205","1","17","0","57","37.196600","77","58.196600"
"33.","1359","Зрењанин","Јужнобанатски управни округ","Вршац","Вршац","Хемијско-медицинска школа","Стеријина 113","26300","sekretarijat@hms.edu.rs","(013)830292","http://www.hms.edu.rs","8114811","102084574","1977-09-05","Средње стручне школе","Државно","27","0","0","650","472","0","5","0","93","64.011400","109","82.261400"
"34.","1360","Зрењанин","Јужнобанатски управни округ","Вршац","Вршац","Школски центар Никола Тесла","Стеријина 40-44","26300","trsla2006@mts.rs","(013)830668","http://www.teslavs.edu.rs","8114803","102084742","1946-09-01","Средње стручне школе","Државно","23","0","0","661","147","0","3","0","62","49.090400","77","67.090400"
"35.","1361","Зрењанин","Јужнобанатски управни округ","Ковачица","Ковачица","Гимназија Михајло Пупин","Николе Тесле 57","26210","office@gymko.edu.rs","(013)661180","http://www.gymko.edu.rs","8029253","101009769","1968-05-18","Средње стручне школе","Државно","12","0","0","236","114","0","2","0","37","25.227700","46","36.427700"
"36.","1362","Зрењанин","Јужнобанатски управни округ","Ковин","Ковин","Гимназија и економска школа Бранко Радичевић","Цара Лазара 197","26220","gimnazijakovin@yahoo.com","(013)744896","http://www.gimeko.edu.rs","08215731","101405952","1964-03-25","Средње стручне школе","Државно","10","0","0","238","143","2","0","0","28","19.887200","34","27.787200"
"37.","1363","Зрењанин","Јужнобанатски управни округ","Ковин","Ковин","Средња стручна школа Васа Пелагић","Цара Лазара 261","26220","pskovin@open.telekom.rs","(013)742200","https://www.vasapelagickovin.edu.rs","08215740","101408574","1961-07-01","Средње стручне школе","Државно","13","0","0","258","128","0","23","0","41","30.036000","58","47.036000"
"38.","1364","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Гимназија Урош Предић","Игњата Барајевца 5","26000","direktor@gimnazijaurospredic.edu.rs","301120","http://www.gimnazijaurospredic.edu.rs","8006431","101048794","1853-02-09","Гимназије","Државно","34","0","0","983","604","0","2","0","74","65.835000","87","80.335000"
"39.","1365","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Економско-трговинска школа Паја Маргановић","Ослобођења 25","26100","ekoskopa@gmail.com","(013)314349","http://www.ekosko.edu.rs","8028567","101864728","1959-03-17","Средње стручне школе","Државно","25","0","0","739","526","6","14","0","58","49.300000","74","67.800000"
"40.","1366","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Медицинска школа Стевица Јовановић","Пастерова 2","26100","direktormedicinskapa@gmail.com","(013)2511772","http://www.medicinskapancevo.com","8028800","101048044","1959-03-17","Средње стручне школе","Државно","19","0","0","567","446","0","4","0","73","51.242200","86","66.242200"
"41.","1367","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Пољопривредна школа Јосиф Панчић","Новосељански пут 31","26000","direktorpoljsk@mts.rs","(013)2190023","http://www.jpancic.edu.rs","8054088","100592127","1966-06-06","Средње стручне школе","Државно","15","0","0","314","143","0","17","0","49","36.435400","65","52.935400"
"42.","1368","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Машинска школа Панчево","Браће Јовановића 103","26100","office@masinska.edu.rs","(013)316396","http://www.masinska.edu.rs","8158789","101865608","1966-12-13","Средње стручне школе","Државно","37","0","0","974","119","1","22","0","85","91.144000","101","115.144000"
"43.","1369","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Електротехничка школа Никола Тесла","Максима Горког 7","26100","direktor@etsntesla.edu.rs","(013)2316806","http://www.etsntesla.edu.rs","8006415","100592740","1983-10-31","Средње стручне школе","Државно","27","0","0","768","86","1","2","0","75","68.750000","88","85.250000"
"44.","1370","Зрењанин","Јужнобанатски управни округ","Панчево - град","Панчево","Техничка школа 23. мај","Браће Јовановића 89","26000","office@skola23maj.edu.rs","(013)318977","http://www.skola23maj.edu.rs","8028575","101866955","1961-05-23","Средње стручне школе","Државно","33","0","0","889","590","8","8","0","83","77.628600","101","96.578600"
"45.","1372","Сомбор","Севернобачки управни округ","Бачка Топола","Бачка Топола","Гимназија и економска школа Доситеј Обрадовић","Трг др Зорана Ђинђића 12","24300","gimnazijabt@mts.rs","(024)711934","http://dositejbt.edu.rs","8207895","101445257","1965-09-01","Средње стручне школе","Државно","11","0","0","253","149","0","1","0","39","21.940000","51","33.940000"
"46.","1373","Сомбор","Западнобачки управни округ","Апатин","Апатин","Техничка школа са домом ученика","Пригревачка 72","25260","so.teh-skola-ap@neobee.net","772216","http://www.tehnicka-apatin.edu.rs","8063591","101127131","1949-05-30","Средње стручне школе","Државно","7","0","0","170","32","2","2","0","30","18.307100","64","53.307100"
"47.","1375","Сомбор","Западнобачки управни округ","Кула","Руски Крстур","Основна школа и гимназија Пјетро Кузмјак са домом ученика","Русинска 63","25233","petroso@eunet.rs","25705030","http://www.petrokuzmjak.edu.rs","8005168","100263189","1977-11-22","Гимназије","Државно","28","0","0","490","288","6","10","0","59","46.802600","88","76.211200"
"48.","1376","Сомбор","Западнобачки управни округ","Кула","Кула","Економско-трговинска школа","Маршала Тита 113","25230","direktor.ets@gmail.com","(025)729150","http://www.etskula.com","8005214","100262926","1960-09-01","Средње стручне школе","Државно","16","0","0","373","254","0","10","0","54","36.830000","71","51.830000"
"49.","1377","Сомбор","Западнобачки управни округ","Кула","Кула","Средња техничка школа Михајло Пупин","Лазе Костића 14","25230","ssmihpupkul1@ptt.rs","(025)720103","http://www.stsmihajlopupin.edu.rs","8005249","100590686","1960-03-09","Средње стручне школе","Државно","19","0","0","470","27","0","3","0","52","41.782300","69","60.242300"
"50.","1378","Сомбор","Западнобачки управни округ","Кула","Црвенка","Средња стручна школа","Маршала Тита 107","25220","srednjaskolacrvenka@gmail.com","(025)731123","http://www.ssscrvenka.com","8005206","100590768","1946-09-01","Средње стручне школе","Државно","7","0","0","161","57","4","9","0","31","14.965600","44","27.965600"
"51.","1379","Сомбор","Западнобачки управни округ","Оџаци","Оџаци","Гимназија и економска школа Јован Јовановић Змај","Сомборска 18","25250","gimekjjzmaj@mts.rs","(025)5742434","http://www.gesjjz.edu.rs","8199957","101564877","2006-07-12","Средње стручне школе","Државно","12","0","0","255","165","0","3","0","33","22.144100","47","34.644100"
"52.","1380","Сомбор","Западнобачки управни округ","Оџаци","Оџаци","Техничка школа","Школска 20","25250","tsodzacidirektor@mts.rs","(025)5746118","https://tehnickaskolaodzaci.edu.rs","8007586","101567141","1955-09-13","Средње стручне школе","Државно","14","0","0","290","60","0","21","0","44","33.801500","57","48.301500"
"53.","1381","Сомбор","Западнобачки управни округ","Сомбор - град","Сомбор","Гимназија Вељко Петровић","Доситеја Обрадовића 2","25100","gimso@mts.rs","(025)420327","http://www.gimnazijaso.edu.rs","8162735","101837740","1994-01-25","Гимназије","Државно","27","0","0","542","326","0","1","0","72","51.006300","88","67.506300"
"54.","1382","Сомбор","Западнобачки управни округ","Сомбор - град","Сомбор","Средња економска школа","Апатински пут 90","25100","sekretar@ekonomskaso.edu.rs","(025)421217","https://www.ekonomskaso.edu.rs","8114498","100122722","1993-03-24","Средње стручне школе","Државно","23","0","0","611","391","3","10","0","75","55.688700","91","74.188700"
"55.","1383","Сомбор","Западнобачки управни округ","Сомбор - град","Сомбор","Средња медицинска школа Др Ружица Рип","Подгоричка 9","25101","direktor@smsso.edu.rs","(025)430540","http://www.smsso.edu.rs","8013128","100607102","1958-10-22","Средње стручне школе","Државно","20","0","0","525","427","1","1","0","75","45.228500","87","59.720400"
"56.","1384","Сомбор","Западнобачки управни округ","Сомбор - град","Сомбор","Средња пољопривредно-прехрамбена школа","Хаџића Светића 18","25100","sspolskosom1@ptt.rs","(025)482586","http://www.sppssombor.edu.rs","8062781","100614038","1946-07-31","Средње стручне школе","Државно","14","0","0","326","140","5","12","0","52","38.047400","73","62.457400"
"57.","1385","Сомбор","Западнобачки управни округ","Сомбор - град","Сомбор","Средња школа Свети Сава","Подгоричка 7","25100","skola@ss-svetisava.edu.rs","(025)415699","http://ss-svetisava.edu.rs","8204918","100614870","1990-09-01","Средње стручне школе","Државно","17","0","0","407","320","0","11","0","57","41.458500","71","56.608500"
"58.","1386","Сомбор","Западнобачки управни округ","Сомбор - град","Сомбор","Средња техничка школа","Трг Цара Лазара 4","25100","so.skolasts@neobee.net","(025)421067","http://www.tehnickaso.edu.rs","8027277","100016489","1992-11-05","Средње стручне школе","Државно","34","0","0","902","147","0","1","0","104","83.677400","128","109.677400"
"59.","1387","Нови Сад","Јужнобачки управни округ","Бач","Бач","Пољопривредна школа","Школска 1","21420","direktor@poljoskolabac.edu.rs","(021)6071063","http://www.poljoskolabac.edu.rs","8610711","101451000","1995-05-05","Средње стручне школе","Државно","7","0","0","165","66","0","5","0","29","18.103500","38","26.603500"
"60.","1388","Нови Сад","Јужнобачки управни округ","Бачка Паланка","Бачка Паланка","Гимназија 20. октобар","Трг братства јединства 23","21400","racunovodstvo.gimnazijabp@gmail.com","(021)751235","http://www.gimnazijabp.edu.rs","8062358","100496573","2002-02-02","Гимназије","Државно","15","0","0","373","234","0","1","0","44","28.411200","55","40.411200"
"61.","1389","Нови Сад","Јужнобачки управни округ","Бачка Паланка","Бачка Паланка","Средња стручна школа Радивој Увалић","Трг братства јединства 23","21400","ekonomskabp@gmail.com","(021)6040428","http://ekonomskabp.edu.rs","08062331","100496508","1956-09-01","Средње стручне школе","Државно","22","0","0","580","390","0","9","0","63","45.377300","73","59.377300"
"62.","1390","Нови Сад","Јужнобачки управни округ","Бачка Паланка","Бачка Паланка","Техничка школа 9. Мај","Kраља Петра I 2","21400","skola@9maj.rs","(021)6041472","http://www.9maj.rs","8062366","100752782","1993-01-13","Средње стручне школе","Државно","22","0","0","536","45","1","1","0","80","56.841500","96","75.341500"
"63.","1391","Нови Сад","Јужнобачки управни округ","Бачки Петровац","Бачки Петровац","Гимназија Јан Колар са домом ученика","14. војвођанске ударне словачке бригаде 12","21470","gjkbp19@gmail.com","(021)780167","http://jankollar.org","8054134","101269891","1919-10-01","Гимназије","Државно","14","0","0","333","176","2","4","0","41","27.297500","69","55.297500"
"64.","1392","Нови Сад","Јужнобачки управни округ","Бечеј","Бечеј","Гимназија","Зелена 13.","21220","gimbecej@gmail.com","(021)6913165","http://gimnazijabecej.edu.rs","8204381","100740086","1990-05-11","Гимназије","Државно","12","0","0","323","187","0","0","0","44","24.425000","57","36.425000"
"65.","1393","Нови Сад","Јужнобачки управни округ","Бечеј","Бечеј","Економско-трговинска школа","Браће Тан 1","21220","info@ets-becej.edu.rs","(021)6916581","http://www.ets-becej.edu.rs","8114099","100737822","1948-08-17","Средње стручне школе","Државно","24","0","0","573","411","3","8","0","69","50.979400","82","67.119400"
"66.","1394","Нови Сад","Јужнобачки управни округ","Бечеј","Бечеј","Техничка школа","Уроша Предића 1","21220","tsbecej@gmail.com","(021)6915094","http://tsbecej.edu.rs","8069760","100434831","2016-05-17","Средње стручне школе","Државно","20","0","0","495","89","0","5","0","71","47.726400","83","61.737500"
"67.","1395","Нови Сад","Јужнобачки управни округ","Врбас","Врбас","Гимназија Жарко Зрењанин","Палих бораца 9","21460","gimvrbas@mts.rs","(021)704653","http://gimnazijavrbas.edu.rs","8073112","100640296","1819-04-08","Гимназије","Државно","23","0","0","613","373","0","2","0","56","42.552700","68","55.552700"
"68.","1396","Нови Сад","Јужнобачки управни округ","Врбас","Врбас","Средња стручна школа 4. јули","Светозара Марковића 53","21460","sss4juli@gmail.com","(021)790555","http://www.sss4juli.vrbas.edu.rs/","8118841","101419621","1945-07-04","Средње стручне школе","Државно","32","0","0","703","261","5","34","0","83","72.198800","106","97.198800"
"69.","1397","Нови Сад","Јужнобачки управни округ","Жабаљ","Жабаљ","Средња школа 22. октобар","Николе Тесле 78","21230","hs22oct@gmail.com","(021)2102605","http://www.22oktobar.rs","8112983","100646993","1977-05-20","Гимназије","Државно","25","0","0","598","272","1","8","1","72","58.838900","88","76.838900"
"70.","1398","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Гимназија Јован Јовановић Змај","Златне греде 4","21000","direktor@jjzmaj.edu.rs","(021)2156166","http://www.jjzmaj.edu.rs","8066892","100236049","1959-09-01","Гимназије","Државно","47","0","0","1140","537","0","0","0","141","91.336700","160","110.906700"
"71.","1399","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Гимназија Светозар Марковић","Његошева 22","21000","gim.markovic@gmail.com","0214721924","http://www.s-markovic.edu.rs","8066914","100238209","1963-07-23","Гимназије","Државно","39","0","0","1158","749","1","0","0","94","75.337000","112","95.837000"
"72.","1400","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Гимназија Исидора Секулић","Владике Платона 2","21100","gimnazis@mts.rs","(021)457132","http://www.gimnazis.edu.rs","8200882","102058302","1990-09-01","Гимназије","Државно","32","0","0","1000","637","0","0","0","65","59.440000","80","75.440000"
"73.","1401","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Гимназија Лаза Костић","Лазе Лазаревића 1","21102","lakogim@gmail.com","(021)6466766","http://www.gimnazijalazakostic.edu.rs","8685240","100237409","1999-05-15","Гимназије","Државно","25","0","0","767","427","0","0","0","58","50.342300","75","68.742300"
"74.","1402","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Средња школа Светозар Милетић","Народних хероја 7","21100","najboljaskola@mts.rs","21423655","http://ekosmile.edu.rs","8114641","100236805","1983-05-16","Средње стручне школе","Државно","60","0","0","1766","1073","6","5","0","135","125.331400","165","157.631400"
"75.","1403","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Медицинска школа 7. aприл","Војводе Книћанина 1","21100","7april@mts.rs","216541298","http://www.7april.edu.rs","8066868","101638314","1946-09-16","Средње стручне школе","Државно","52","0","0","1609","1301","2","0","0","176","139.434700","203","170.931400"
"76.","1404","Нови Сад","Јужнобачки управни округ","Нови Сад","Футог","Пољопривредна школа са домом ученика - Футог","Царице Милице 2","21410","poljosko@eunet.rs","(021)895096","http://www.poljosko.edu.rs","8042080","100459701","1949-05-12","Средње стручне школе","Државно","31","0","0","656","286","10","15","0","102","74.233200","173","150.643200"
"77.","1405","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Средња машинска школа","Булевар краља Петра првог 38","21100","informacije@masinskans.edu.rs","(021)444606","http://www.masinskans.edu.rs","8117861","100236338","1990-11-27","Средње стручне школе","Државно","28","0","0","782","19","6","0","0","81","70.150000","111","101.930000"
"78.","1406","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Електротехничка школа Михајло Пупин","Футошка 17","21000","uprava.etspupin@gmail.com","(021)421566","http://www.etspupin.edu.rs","8043361","101708719","1963-05-16","Средње стручне школе","Државно","66","0","0","1847","132","1","3","2","173","151.910000","208","189.910000"
"79.","1407","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Техничка школа Павле Савић","Шајкашка 34","21100","tspavles@nspoint.net","(021)443746","http://tspavlesavic.edu.rs","8066973","100458932","1961-09-01","Средње стручне школе","Државно","38","0","0","800","550","6","8","0","97","83.020000","114","105.870000"
"80.","1408","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Техничка школа Милева Марић Ајнштајн","Гагаринова 1","21000","mileva.ajnstajn021@gmail.com","(021)443444","http://www.mmaricajnstajn.edu.rs","8043370","100237011","1983-09-30","Средње стручне школе","Државно","64","0","0","1653","962","13","6","0","159","145.143500","200","191.143500"
"81.","1409","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Саобраћајна школа Пинки","Шумадијска 12а","21100","sspinki@eunet.rs","(021)527155","http://sspinki.edu.rs","8158142","101652308","1983-06-02","Средње стручне школе","Државно","51","0","0","1348","481","0","0","0","126","106.770000","156","140.020000"
"82.","1412","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Школа за дизајн Богдан Шупут","Јанка Веселиновића 22","21100","designbs@nspoint.net","(021)512244","http://skolazadizajnbogdansuput.edu.rs","8066957","100715122","1948-10-21","Средње стручне школе","Државно","18","0","0","334","274","1","0","0","75","55.520000","89","71.720000"
"83.","1413","Нови Сад","Јужнобачки управни округ","Србобран","Србобран","Гимназија и економска школа Светозар Милетић","Трг професора Миливоја Туторова 4","21480","gimnazissrbobran@mts.rs","(021)730155","http://www.gimnazijasrbobran.edu.rs","8013276","101867755","1962-04-27","Средње стручне школе","Државно","7","0","0","116","73","0","0","0","25","11.241000","30","19.191000"
