"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"12.","12","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Бранислав Нушић","Заплањска 45","11040","nusicbg@gmail.com","(011)2460763","http://nusicbg.org","7014554","100164602","1965-12-08","Основна школа","Државно","31","0","0","685","343","50","13","3","51","49.650000","75","74.150000"
"13.","13","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Војвода Степа","Војводе Степе 520","11221","osvstepa@verat.net","(011)3945259","http://www.osvojvodastepabeograd.nasaskola.rs","7017278","100382175","1894-09-28","Основна школа","Државно","30","0","0","785","369","6","2","2","49","43.850000","69","61.750000"
"14.","14","Београд","Град Београд","Београд - Вождовац","Београд (Вождовац)","Јајинци","Илије Петровића 12","11222","osjajinci@osjajinci.edu.rs","(011)3941826","http://osjajinci.edu.rs/","7017316","100382183","1965-07-13","Основна школа","Државно","24","0","0","517","251","11","6","1","41","35.361000","57","50.414300"
"15.","15","Београд","Град Београд","Београд - Вождовац","Рипањ","Вук Караџић","Ерчанска 3","11232","osvuk11@ptt.rs","8650591","http://www.osvukripanj.nasaskola.rs","7017286","101736987","1965-11-08","Основна школа","Државно","29","0","0","529","257","15","15","3","43","40.689000","60","57.189000"
"16.","16","Београд","Град Београд","Београд - Вождовац","Рипањ","Војвода Путник","Пут за колонију 12","11234","osputnik.ripanj@gmail.com","(011)8650139","http://vojvodaputnikripanj.edu.rs","7017251","101746056","1965-12-08","Основна школа","Државно","16","0","0","212","104","23","4","0","29","22.566200","41","35.066200"
"17.","17","Београд","Град Београд","Београд - Вождовац","Бели Поток","Васа Чарапић","Авалска 48а","11223","osvasacarapic@gmail.com","(011)3906988","http://www.os-vasacarapic.com","7017260","101746152","1965-11-06","Основна школа","Државно","41","0","0","783","376","18","10","0","71","64.690000","94","88.990000"
"18.","18","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Свети Сава","Николаја Краснова 8","11000","osnovnasvetisava@gmail.com","(011)2433639","http://www.ossvetisavabg.edu.rs","7018843","100292665","1852-05-10","Основна школа","Државно","36","0","0","990","477","3","4","0","60","56.174900","82","80.174900"
"19.","19","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Јован Миодраговић","Војводе Драгомира 1","11000","jovanmiodragovic@eunet.rs","(011)3442268","http://www.osjovanmiodragovic.edu.rs","7004257","100289516","1954-07-19","Основна школа","Државно","40","0","0","1042","500","8","5","0","71","66.442200","90","87.292200"
"20.","20","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Краљ Петар II Карађорђевић","Марулићева 8","11000","kraljpetar@sbb.rs","(011)7444621","http://www.oskraljpetardrugi.nasaskola.rs","7004249","100299366","1932-02-08","Основна школа","Државно","29","0","0","752","353","9","3","1","45","42.189900","65","62.689900"
"21.","21","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","НХ Синиша Николајевић","Тимочка 24","11000","os.sinisanikolajevic@gmail.com","(011)2836610","http://osnhsinisanikolajevic.nasaskola.rs","7004281","100293754","1955-08-04","Основна школа","Државно","28","0","0","712","380","18","4","0","53","45.039900","67","61.179900"
"22.","22","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Светозар Марковић","Хаџи Милентијева 62","11000","ossmark@eunet.rs","(011)2433025","http://ossmarkovic.edu.rs","7004265","100288907","1950-09-06","Основна школа","Државно","32","0","0","798","378","7","6","1","52","46.515000","68","63.515000"
"23.","23","Београд","Град Београд","Београд - Врачар","Београд (Врачар)","Владислав Рибникар","Краља Милутина 10","11000","os.vribnikar@mts.rs","(011)3640166","http://www.os-ribnikar.edu.rs","7004290","100158846","1975-09-01","Основна школа","Државно","42","0","0","1108","552","51","2","0","78","72.911000","106","100.911000"
"24.","24","Београд","Град Београд","Београд - Гроцка","Калуђерица","Алекса Шантић","Краља Петра I 9","11130","osaleksasantic@beotel.net","(011)3410655","https://www.osas.edu.rs","7089104","101187082","1980-07-09","Основна школа","Државно","50","0","0","1351","640","8","4","0","78","73.910000","101","97.910000"
"25.","25","Београд","Град Београд","Београд - Гроцка","Винча","Никола Тесла","Јована Јовановића Змаја 1","11351","osn.tesla@mts.rs","(011)8065899","http://www.osteslavinca.edu.rs","7035209","101552900","1969-07-14","Основна школа","Државно","93","0","0","2357","1134","5","3","0","135","131.831600","188","185.981600"
"26.","26","Београд","Град Београд","Београд - Гроцка","Гроцка","Илија Гарашанин","Булевар револуције 11","11306","os.i.garasanin@gmail.com","(011)8501235","http://ilijagarasanin.rs","7035241","101181090","2004-08-20","Основна школа","Државно","41","0","0","840","416","23","11","2","74","62.840000","104","94.990000"
"27.","27","Београд","Град Београд","Београд - Гроцка","Врчин","Свети Сава","29. новембра 15","11224","os-svsava@mts.rs","(011)8053467","http://os-svetisava.edu.rs","7035233","101953139","1957-07-29","Основна школа","Државно","20","0","0","469","206","5","7","0","41","38.934400","61","58.434400"
"28.","28","Београд","Град Београд","Београд - Гроцка","Умчари","Мића Стојковић","29. новембра 11","11430","umcarios@yahoo.com","(011)8541213","http://www.osmicastojkovic.com","7048084","101953147","1976-10-14","Основна школа","Државно","28","0","0","470","222","6","3","0","45","39.277800","67","62.277800"
"29.","29","Београд","Град Београд","Београд - Гроцка","Бегаљица","Иво Лола Рибар","Живана Јовановића 1","11308","lolabegaljica@beotel.rs","(011)8530378","http://skolabegaljica.edu.rs/page/16/","7035217","101185930","0000-00-00","Основна школа","Државно","13","0","0","234","131","10","4","0","29","21.122200","39","30.122200"
"30.","30","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Десанка Максимовић","Устаничка 246","11050","osdmaksimovic@ymail.com","(011)2890131","http://www.osdesankamaksimovic.edu.rs","7042213","101553172","1963-09-17","Основна школа","Државно","32","0","0","834","409","3","11","0","54","49.127600","72","68.627600"
"31.","31","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Вељко Дугошевић","Милана Ракића 41","11050","osvd@eunet.rs","(011)3086971","http://www.osveljkodugosevic.edu.rs","7004702","100032528","2016-11-27","Основна школа","Државно","34","0","0","904","427","9","3","0","56","49.844200","79","72.844200"
"32.","32","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Владислав Петковић ДИС","Радослава Љумовића 20","11126","osnovnaskolaosdis@yahoo.com","(011)3461507","http://osdis.edu.rs","7004796","100025086","1967-06-19","Основна школа","Државно","19","0","0","434","213","2","1","0","33","28.604000","50","46.081000"
"33.","34","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Драгојло Дудић","Булевар краља Александра 525","11050","osddudic@gmail.com","(011)3047099","http://www.osdragojlodudic.edu.rs","7004788","101718865","1864-01-21","Основна школа","Државно","24","0","0","585","290","3","1","0","45","38.216400","58","51.216400"
"34.","35","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Иван Горан Ковачић","Војводе Бране 18а","11050","direktorigk@sbb.rs","(011)2404533","http://wwwskolaigk.edu.rs","7009763","101990159","1953-05-31","Основна школа","Државно","34","0","0","921","470","7","3","0","57","54.538700","77","73.998700"
"35.","36","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Јелена Ћетковић","Врањска 26","11050","skola@jelena.edu.rs","(011)2418741","http://www.jelena.edu.rs","7004761","100003523","1961-05-29","Основна школа","Државно","42","0","0","1136","540","13","6","0","66","62.000000","83","81.000000"
"36.","37","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Марија Бурсаћ","Милана Ракића 81","11050","os.marijab@gmail.com","(011)3088042","http://osmb.edu.rs","7041462","101850706","1956-02-06","Основна школа","Државно","21","0","0","542","241","18","5","3","37","33.376700","52","49.542300"
"37.","39","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Деспот Стефан Лазаревић","Моме Димића 2","11160","despotstefan@sezampro.rs","3429875","http://www.despotos.edu.rs","17417908","100008060","2002-06-20","Основна школа","Државно","58","0","0","1648","815","2","18","0","91","89.255300","118","117.755300"
"38.","41","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Стеван Синђелић","Милића Ракића 1","11050","osstevansindjelic@mts.rs","(011)3474075","http://www.ssindjelic.edu.rs","7004745","101723919","2016-06-24","Основна школа","Државно","32","0","0","809","392","23","12","0","54","51.480000","74","71.430000"
"39.","42","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Ћирило и Методије","Учитељска 58","11050","cirilim@sezampro.rs","2884265","http://www.oscirilo.edu.rs","17417916","100004702","2002-06-22","Основна школа","Државно","36","0","0","943","465","33","5","1","59","54.800000","81","78.300000"
"40.","43","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","1300 каплара","Панчина 1","11050","kaplara1300@sbb.rs","(011)2418326","http://www.1300kaplara.edu.rs","17415450","101468398","2002-07-01","Основна школа","Државно","20","0","0","434","243","13","10","0","35","30.470000","49","45.240000"
"41.","44","Београд","Град Београд","Београд - Звездара","Београд (Звездара)","Павле Савић","Косте Нађа 25","11160","direktor@ospavlesavic.edu.rs","(011)3430358","http://ospavlesavic.edu.rs/","17053884","101723189","1994-09-01","Основна школа","Државно","70","0","0","1928","909","12","3","0","110","104.361000","144","138.991000"
"42.","45","Београд","Град Београд","Београд - Земун","Београд (Земун)","Мајка Југовића","Градски парк 9","11080","majkajugovica@gmail.com","(011)3076301","http://majkajugovica.edu.rs","7021046","100129023","1956-03-10","Основна школа","Државно","26","0","0","651","311","4","1","0","47","42.683300","60","56.155500"
"43.","46","Београд","Град Београд","Београд - Земун","Београд (Земун)","Светозар Милетић","Немањина 25","11080","osnovnaskola.smiletic@gmail.com","(011)2617243","https://www.osmiletic.edu.rs","7021089","100016042","1963-02-14","Основна школа","Државно","38","0","0","1061","536","0","0","0","61","58.250000","79","77.750000"
"44.","47","Београд","Град Београд","Београд - Земун","Београд (Земун)","Лазар Саватић","Кеј ослобођења 27","11080","lazarsavatic@gmail.com","(011)3165386","http://www.lazarsavatic.edu.rs","7021186","100200489","1962-09-18","Основна школа","Државно","30","0","0","854","436","0","1","0","58","52.450000","80","74.150000"
"45.","48","Београд","Град Београд","Београд - Земун","Београд (Земун)","Раде Кончар","Златиборска 44","11080","os.rkoncar@gmail.com","112611125","http://www.osradekoncar.edu.rs","7021062","101540352","1962-09-18","Основна школа","Државно","30","0","0","754","360","4","6","0","50","43.935900","68","62.535900"
"46.","49","Београд","Град Београд","Београд - Земун","Београд (Земун)","Сутјеска","Задругарска 1","11080","ossutjeskazemun@gmail.com","(011)3169441","http://sutjeskazemun.edu.rs","7021119","101540980","1964-07-10","Основна школа","Државно","16","0","0","233","117","23","5","0","28","21.748600","44","37.298600"
"47.","50","Београд","Град Београд","Београд - Земун","Београд (Земун)","Петар Кочић","Првомајска 79","11080","osnovnapkocic@gmail.com","(011)2196149","https://ospetarkociczemun.rs","7021054","101952672","1965-12-08","Основна школа","Државно","26","0","0","584","263","12","7","0","40","37.161100","61","56.931100"
"48.","51","Београд","Град Београд","Београд - Земун","Београд (Земун)","Гаврило Принцип","Крајишка 34","11080","osgprincip@gmail.com","(011)2194294","http://www.osgavriloprincip.znanje.info","7021143","100129697","1954-10-11","Основна школа","Државно","32","0","0","859","423","25","6","0","56","50.583300","80","75.583300"
"49.","52","Београд","Град Београд","Београд - Земун","Београд (Земун)","Соња Маринковић","Аласка 17","11080","ossonjamar@gmail.com","(011)3077522","http://www.ossonjazemun.edu.rs","7021151","100198780","1956-12-28","Основна школа","Државно","31","0","0","855","407","17","2","0","57","50.910000","75","68.410000"
"50.","53","Београд","Град Београд","Београд - Земун","Београд (Земун)","Горња Варош","Добановачка 72","11080","skola@gornjavaros.edu.rs","(011)3167778","http://www.gornjavaros.edu.rs","7021097","100010765","1819-10-31","Основна школа","Државно","28","0","0","677","330","4","4","0","49","47.133000","65","62.633000"
"51.","54","Београд","Град Београд","Београд - Земун","Београд (Земун)","Сава Јовановић Сирогојно","Призренска 37","11080","skolasirogojno@yahoo.com","3165882","http://www.skolasirogojno.edu.rs","7026676","100013382","1966-04-12","Основна школа","Државно","19","0","27","110","50","0","104","0","67","61.380000","86","80.380000"
"52.","55","Београд","Град Београд","Београд - Земун","Београд (Земун)","Илија Бирчанин","Браће Крњешевац 2","11185","osilijabircanin@gmail.com","(011)3753813","http://ilijabircanin.edu.rs","7021178","100015486","1964-09-01","Основна школа","Државно","46","0","0","1212","583","35","2","0","71","69.420000","99","97.420000"
"53.","56","Београд","Град Београд","Београд - Земун","Београд (Земун)","Бошко Палковљевић Пинки","Пуковника Миленка Павловића 7а","11273","os.bppinki@mts.rs","(011)7870077","http://www.ospinkibatajnica.nasaskola.rs","7021208","100130329","1961-07-11","Основна школа","Државно","31","0","0","733","338","23","11","0","51","46.005200","67","61.644600"
"54.","57","Београд","Град Београд","Београд - Земун","Београд (Земун)","Бранко Радичевић","Браће Михајловић Трипић 2","11273","os.brankoradicevic73@gmail.com","(011)7870046","http://osbrankoradicevic.edu.rs","7021038","100093476","1965-12-08","Основна школа","Државно","56","0","0","1418","707","4","6","0","86","80.280000","116","110.430000"
"55.","58","Београд","Град Београд","Београд - Земун","Београд (Земун)","Светислав Голубовић Митраљета","Далматинске загоре 94","11273","mitraljeta@mts.rs","7870080","http://www.osmitraljeta.edu.rs","7021259","100014810","1969-06-20","Основна школа","Државно","36","0","0","939","474","0","5","0","56","51.590000","71","67.090000"
"56.","59","Београд","Град Београд","Београд - Сурчин","Сурчин","Вук Караџић","Братства јединства број 1","11271","vuksur@yahoo.com","(011)8440120","http://www.oskaradzicsurcin.nasaskola.rs","7021135","100203129","1950-08-22","Основна школа","Државно","30","0","0","815","385","8","0","2","54","47.644300","74","65.894300"
"57.","60","Београд","Град Београд","Београд - Сурчин","Сурчин","22. октобар","Маршала Тита 8","11271","os22okt@gmail.com","(011)8440511","http://www.os22oktobarsurcin.edu.rs","7021194","100193382","1967-09-01","Основна школа","Државно","32","0","0","750","361","55","22","0","52","48.390900","75","71.090900"
"58.","61","Београд","Град Београд","Београд - Сурчин","Добановци","Стеван Сремац","Маршала Тита 6","11272","ossremac@mts.rs","(011)8465645","http://stevansremac.edu.rs","7021127","100130503","1964-09-01","Основна школа","Државно","27","0","0","699","348","2","2","0","46","39.233100","62","54.503100"
"59.","62","Београд","Град Београд","Београд - Земун","Угриновци","Станко Марић","Учитеља Цвеје 5","11277","stankomaric@gmail.com","(011)8409308","http://www.stankomaric.edu.rs","7021160","100194246","1965-12-08","Основна школа","Државно","23","0","0","600","287","0","0","0","37","32.699900","50","46.346500"
"60.","63","Београд","Град Београд","Београд - Сурчин","Јаково","Вожд Карађорђе","Бољевачка 2","11276","direktor.vozd@gmail.com","(011)8416439","http://www.vozd.edu.rs","7021224","101541691","1963-10-17","Основна школа","Државно","24","0","0","540","272","10","5","0","41","35.434200","60","54.434200"
"61.","64","Београд","Град Београд","Београд - Сурчин","Бољевци","Бранко Радичевић","Браће Кокар 5","11275","os_boljevci@yahoo.com","(011)8403454","http://osbrankoboljevci.edu.rs","7021216","101541600","1963-10-17","Основна школа","Државно","23","0","0","382","202","4","7","0","39","32.766400","55","47.966400"
"62.","65","Београд","Град Београд","Београд - Сурчин","Бечмен","Душан Вукасовић Диоген","11. октобра 36","11279","osbecmendiogen@gmail.com","(011)8438217","http://www.osbecmendiogen.edu.rs","7019491","100130499","1963-10-17","Основна школа","Државно","20","0","0","439","203","0","3","0","33","28.444300","46","40.904300"
"63.","66","Београд","Град Београд","Београд - Лазаревац","Лазаревац","Кнез Лазар","Бранка Радичевића 27a","11550","direktor@osknezlazar.edu.rs","(011)8122251","https://www.osknezlazar.edu.rs","17057375","101135916","1994-08-26","Основна школа","Државно","34","0","0","925","463","4","1","0","58","56.515600","79","79.015600"
"64.","67","Београд","Град Београд","Београд - Лазаревац","Велики Црљени","Свети Сава","Стевана Филиповића 10","11563","os.velcrljeni.svsava@gmail.com","(011)8161300","http://www.skoljacrljeni.edu.rs","7010257","101136494","1961-08-22","Основна школа","Државно","20","0","0","412","211","1","0","0","34","29.161100","49","42.461100"
"65.","68","Београд","Град Београд","Београд - Лазаревац","Јунковац","Слободан Пенезић Крцун","Трг ослобођења 1","11562","biljana.oskrcun@gmail.com","118177020","http://osslobodanpenezickrcun.nasaskola.rs","7010273","101132782","1961-08-22","Основна школа","Државно","12","0","0","181","91","4","10","0","28","17.522100","39","28.822100"
"66.","69","Београд","Град Београд","Београд - Лазаревац","Степојевац","Вук Караџић","7. октобра 219","11564","vukkaradzicstepojevac@gmail.com","(011)8141310","http://www.osvukkaradzic-stepojevac.edu.rs","7020821","101130442","1961-08-22","Основна школа","Државно","18","0","0","315","155","11","4","0","33","25.894300","51","44.394300"
"67.","70","Београд","Град Београд","Београд - Лазаревац","Рудовци","Рудовци","Душана Петровића Шана 4","11566","osrudovci@gmail.com","(011)8192220","http://www.osrudovci.nasaskola.rs","7020813","101138561","1961-08-22","Основна школа","Државно","21","0","0","229","116","2","12","0","35","27.827500","46","40.417500"
"68.","71","Београд","Град Београд","Београд - Лазаревац","Лазаревац","Дуле Караклајић","Дула Караклајића 35а","11550","zamenik.skola@gmail.com","(011)8123228","http://dulovaskola.edu.rs","7020830","101136427","1966-09-01","Основна школа","Државно","53","0","0","1211","561","18","49","0","96","87.133200","124","116.139800"
"69.","72","Београд","Град Београд","Београд - Лазаревац","Дудовица","Михаило Младеновић Сеља","Др Воје Даниловића 17","11561","osdudovica@gmail.com","(011)8187011","http://www.osdudovica.edu.rs","7010265","101130910","1961-08-30","Основна школа","Државно","17","0","0","281","139","10","1","0","30","24.444400","43","37.644400"
"70.","73","Београд","Град Београд","Београд - Лазаревац","Вреоци","Диша Ђурђевић","2. октобра број 8","11560","disa.skola@gmail.com","(011)8155117","http://www.osdisadjurdjevic.edu.rs","7020805","101135342","1961-08-30","Основна школа","Државно","13","0","0","143","65","16","6","0","28","19.388700","40","30.088700"
"71.","74","Београд","Град Београд","Београд - Лазаревац","Лазаревац","Војислав Вока Савић","Доситеја Обрадовића 4","11550","osvoka2010@gmail.com","(011)8123229","http://www.osvokasavic.edu.rs","7007884","102129952","1958-09-01","Основна школа","Државно","37","0","0","817","414","0","3","1","63","55.247700","81","74.497700"
"72.","75","Београд","Град Београд","Београд - Лазаревац","Барошевац","Милорад Лабудовић Лабуд","Ивањданска 56a","11565","skolabarosevac@gmail.com","(011)8158725","http://www.osmiloradlabudoviclabud.edu.rs","7020848","101138658","1961-08-22","Основна школа","Државно","14","0","0","159","85","0","0","0","36","21.724100","48","34.224100"
"73.","76","Београд","Град Београд","Београд - Младеновац","Влашка","Бора Лазић","Краља Александра I 103","11406","os.bora.lazic@gmail.com","(011)8201378","http://osboralazic-vlaska.edu.rs","17075411","102069173","1992-05-09","Основна школа","Државно","12","0","0","138","62","3","4","0","27","15.672100","36","24.005400"
"74.","77","Београд","Град Београд","Београд - Младеновац","Велика Крсна","Биса Симић","Централна 13","11408","bisasimic@gmail.com","(011)8215455","http://www.osbisasimicvelikakrsna.nasaskola.rs","7007175","101960945","1973-12-11","Основна школа","Државно","8","0","0","172","81","3","0","0","25","14.672100","36","25.672100"
"75.","78","Београд","Град Београд","Београд - Младеновац","Ковачевац","Живомир Савковић","Трг Љубомира Ивановића Геџе 11","11409","os.zivomir.savkovic@gmail.com","(011)8213207","http://www.oszivomirsavkovic.rs","7007191","101481452","2016-11-29","Основна школа","Државно","16","0","0","269","138","4","4","0","37","22.144100","49","34.144100"
"76.","79","Београд","Град Београд","Београд - Младеновац","Јагњило","Милица Милошевић","Јагњило бб","11412","osmmilos@yahoo.com","(011)8217802","http://www.osmmilos.edu.yu","7007213","101961585","1870-09-01","Основна школа","Државно","13","0","0","212","99","1","3","0","28","17.688700","41","28.466400"
"77.","80","Београд","Град Београд","Београд - Младеновац","Младеновац (варош)","Момчило Живојиновић","Краља Александра Обреновића 25","11400","mzivojinovic@mts.rs","(011)8231388","http://www.osmomcilozivojinovic.edu.rs","7011059","101481731","1956-02-01","Основна школа","Државно","62","0","0","1383","675","18","17","0","104","89.561400","133","118.811400"
"78.","81","Београд","Град Београд","Београд - Младеновац","Младеновац (варош)","Свети Сава","Космајска 47","11400","osvetisava15@gmail.com","(011)8231361","http://www.osvetisava.com","7007183","101478640","1955-09-21","Основна школа","Државно","37","0","0","842","410","45","7","0","65","56.510600","85","77.910600"
"79.","82","Београд","Град Београд","Београд - Младеновац","Младеновац (варош)","Коста Ђукић","Краља Петра Првог 339","11400","direktorkdj@gmail.com","(011)8231385","http://oskosta.nasaskola.rs","7007205","101283243","1968-02-28","Основна школа","Државно","45","0","0","788","384","10","9","0","73","64.638800","98","88.338800"
"80.","83","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Надежда Петровић","Луја Адамича 4","11070","direktor@osnovnaskola.rs","(011)2601295","https://www.osnovnaskola.rs/","7029667","102041629","1956-10-12","Основна школа","Државно","19","0","0","472","243","11","1","0","37","30.961100","51","44.561100"
"81.","84","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Марко Орешковић","Отона Жупанчича 30","11070","sekretar.moreskovic@gmail.com","(011)3192033","http://www.markooreskovic.edu.rs","7029659","101200570","1959-07-14","Основна школа","Државно","19","0","0","417","220","0","2","0","35","30.930000","51","45.930000"
"82.","85","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Краљ Александар I","Алексиначких рудара 22","11070","skolakralj@gmail.com","(011)2603847","http://www.skolakraljaleksandar.edu.rs","7029675","101671007","1968-07-08","Основна школа","Државно","31","0","0","767","381","8","2","1","53","47.875000","69","64.875000"
"83.","86","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Борислав Пекић","Данила Лекића Шпанца 27","11070","direktor@skola-pekic.edu.rs","3182484","http://www.skola-pekic.edu.rs","17412434","101954553","2002-06-20","Основна школа","Државно","44","0","0","1248","596","5","3","0","75","68.816600","98","93.816600"
"84.","87","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Душко Радовић","Булевар Зорана Ђинђића 112","11070","os.radovic.racun@gmail.com","(011)2601786","http://www.duskoradovic.edu.rs","7029764","101712776","1961-07-13","Основна школа","Државно","32","0","0","809","376","0","0","0","58","50.633200","74","66.636500"
"85.","88","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Ратко Митровић","Омладинских бригада 58","11070","direktor@osrm.edu.rs","(011)3111779","http://www.osrm.edu.rs","7029756","101555279","1972-07-06","Основна школа","Државно","21","0","0","528","256","16","2","0","38","32.700000","53","46.700000"
"86.","89","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Ђуро Стругар","Милутина Миланковића 148","11070","osdjurostrugarnbgd@gmail.com","(011)6141144","http://djurostrugar.edu.rs","7029683","101554204","1969-10-09","Основна школа","Државно","19","0","0","414","216","5","0","0","37","30.244400","52","45.094400"
"87.","90","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Иван Гундулић","Народних хероја 12","11070","ivangundulic@hotmail.com","(011)2694043","http://www.ivangundulic.edu.rs","7029721","101713214","1963-05-15","Основна школа","Државно","23","0","0","564","279","4","1","0","45","38.592100","60","53.092100"
"88.","91","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Лаза Костић","Милентија Поповића 72","11070","lazakostic@mts.rs","(011)7118746","http://www.lazakostic.edu.rs","7060467","101670498","1977-10-07","Основна школа","Државно","40","0","0","1101","546","3","3","0","73","66.638900","98","92.138900"
