"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"19.","1186","Зрењанин","Јужнобанатски управни округ","Вршац","Вршац","Школа за основно и средње образовање Јелена Варјашки","Жарка Зрењанина 22","26300","jelena.varjaski.vrsac@gmail.com","(013)839832","http://jelenavarjaski.edu.rs","8115281","102084113","1977-11-11","Специјалне школе","Државно","17","0","98","36","0","97","39","35.020000","49","47.020000"
"20.","1190","Лесковац","Јабланички управни округ","Лесковац - град","Лесковац","Школа за основно и средње образовање 11.октобар","Кајмакчаланска 24","16000","11.oktobar@gmail.com","(016)242175","https://soso11oktobarleskovac.wordpress.com","7137796","102133953","1968-09-30","Специјалне школе","Државно","31","0","156","51","0","129","65","54.837500","79","69.337500"
"21.","1195","Чачак","Моравички управни округ","Чачак - град","Чачак","Школа за основно и средње образовање 1. новембар","Булевар Вука Караџић 9","32000","skola1novembar@mts.rs","(032)332902","http://soso1novembar.edu.rs","7192746","101114346","1974-07-19","Специјалне школе","Државно","15","0","77","25","0","46","28","27.813200","40","41.313200"
"22.","1198","Ниш","Нишавски управни округ","Ниш - Палилула","Ниш (Палилула)","Школа за основно и средње образовање Царица Јелена","Гоце Делчева 2","18106","skolacaricajelena@gmail.com","(018)560848","https://www.caricajelena.edu.rs","7173873","100615194","1967-10-28","Специјалне школе","Државно","21","21","126","48","0","126","49","41.169800","66","60.544800"
"23.","1199","Ниш","Пиротски управни округ","Пирот","Пирот","Школа за основно и средње образовање Младост","Косте Абрашевића 40","18300","ssmladostpirot@mts.rs","10312622","http://www.skolamladostpirot.edu.rs","7172338","100185326","1971-11-26","Специјалне школе","Државно","18","0","97","32","0","68","34","30.466700","48","46.746700"
"24.","1202","Ниш","Топлички управни округ","Прокупље","Прокупље","Свети Сава","Милоша Црњанског бб","18400","ossvetisavapk@mts.rs","027-321988","NULL","7107455","102133494","1973-06-27","Специјалне школе","Државно","6","0","20","8","0","20","10","9.130000","17","15.130000"
"25.","1206","Ниш","Нишавски управни округ","Ниш - Палилула","Ниш (Палилула)","Специјална школа са домом ученика Бубањ","Бубањских хероја 3","18000","skolabubanj@mts.rs","(018)263801","http://www.skolabubanj.edu.rs","7216475","100665822","1963-01-19","Специјалне школе","Државно","32","0","184","64","24","160","58","53.930000","110","108.430000"
"26.","1209","Ниш","Нишавски управни округ","Алексинац","Алексинац","Смех и суза","Станка Милосављевића 9","18220","smehisuza@mts.rs","(018)804626","http://smehisuza.edu.rs","17663569","104683098","2006-10-27","Специјалне школе","Државно","9","0","40","20","0","40","17","14.200000","23","22.200000"
"27.","1212","Лесковац","Пчињски управни округ","Врање","Врање","Школа за основно и средње образовање Вуле Антић","Радних бригада 2","17510","sosovuleantic@yahoo.com","(017)423621","http://www.sosovuleantic.com","7138962","100550469","1970-07-11","Специјалне школе","Државно","18","18","83","32","0","83","39","27.872500","54","43.315800"
"28.","1220","Јагодина","Поморавски управни округ","Јагодина - град","Јагодина","Школа са домом ученика за ученике оштећеног слуха и говора 11. мај","Славке Ђурђевић 8","35000","skolazagluve035@mts.rs","(035)8223204","http://www.11maj.edu.rs","7127111","100938950","1973-12-25","Специјалне школе","Државно","18","0","133","40","0","134","34","29.180000","61","56.680000"
"29.","1222","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Школа за основно и средње образовање Веселин Николић","Луке Ивановића 17","37000","sosoves.nik.ks@gmail.com","(037)446700","http://www.sosoveselinnikolic.webs.com","7143915","100315175","1967-10-31","Специјалне школе","Државно","32","32","191","85","0","191","68","65.265000","82","80.175000"
"30.","1226","Краљево","Рашки управни округ","Краљево - град","Краљево","Школа за основно и средње образовање Иво Лола Рибар","Доситејева 5/4","36000","ilribar_kv@mts.rs","(036)315242","http://ivololaribar.edu.rs","7191111","100241341","1967-12-05","Специјалне школе","Државно","19","0","90","29","0","90","35","24.680000","49","38.180000"
"31.","1229","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Школски центар са домом ученика Доситеј Обрадовић","Зрињског и Франкопана 2","24000","skcentar.dositej@gmail.com","(024)556119","http://www.skcentar.edu.rs","8009333","101749715","2014-09-01","Специјалне школе","Државно","21","0","145","69","0","144","44","41.900000","80","75.900000"
"32.","1230","Сомбор","Севернобачки управни округ","Суботица - град","Суботица","Основна и средња школа Жарко Зрењанин","Ивана Горана Ковачића 14","24000","zarkozre@eunet.rs","(024)553037","http://www.oisszarkozrenjanin.edu.rs","8009112","100850812","2002-11-19","Специјалне школе","Државно","35","35","184","62","0","132","69","63.150000","96","89.910000"
"33.","1237","Зрењанин","Средњобанатски управни округ","Зрењанин - град","Зрењанин","Основна и средња школа 9. Мај","Народне омладине 16","23101","maj9.skola@beotel.rs","(023)589021","http://www.9majzr.edu.rs","8069123","100903595","1866-06-30","Специјалне школе","Државно","40","40","204","55","0","187","107","94.596000","137","126.316000"
"34.","1239","Нови Сад","Сремски управни округ","Шид","Шид","Јован Јовановић Змај","Школска 5","22240","sosjjzsid@gmail.com","(062)628018","http://jjzmajsid.edu.rs","8117136","101453747","1978-01-09","Специјалне школе","Државно","3","4","15","5","0","15","8","8.800000","13","13.420000"
"35.","1241","Нови Сад","Сремски управни округ","Сремска Митровица - град","Сремска Митровица","Школа за основно и средње образовање Радивој Поповић","Фрушкогорска 73","22000","radivoj.popovic.sm@gmail.com","(022)639185","http://www.srp.edu.rs","8015821","100791631","0000-00-00","Специјалне школе","Државно","18","0","99","37","0","101","46","42.362200","68","63.862200"
"36.","1243","Нови Сад","Сремски управни округ","Стара Пазова","Стара Пазова","Школа за основно и средње образовање Антон Скала","Карађорђева 12","22300","anadrog@ptt.rs","(022)310026","http://www.sajt.com","8011338","100532329","1972-06-06","Специјалне школе","Државно","17","17","95","44","0","95","37","29.700000","46","41.000000"
"37.","1246","Крагујевац","Шумадијски управни округ","Крагујевац - град","Крагујевац","Школа са домом за ученике оштећеног слуха","Старине Новака 33","34000","skolazagluve@mts.rs","(034)323662","http://www.skolazagluve.edu.rs","7151349","101578556","1949-05-31","Специјалне школе","Државно","17","0","99","32","0","84","32","28.855500","58","55.865500"
"38.","1249","Ужице","Златиборски управни округ","Ужице - град","Ужице","Основна школа за слушно оштећену децу Миодраг Матић","Драгише Лапчевића 1","31000","specijalnaskola@mts.rs","(031)563692","http://mvmatic.edu.rs","7157550","101783885","1964-09-01","Специјалне школе","Државно","9","0","28","8","8","19","18","15.275000","39","39.050000"
"39.","1253","Зајечар","Зајечарски управни округ","Зајечар - град","Зајечар","Школа за основно и средње образовање Јелена Мајсторовић","Тимочке буне 14","19000","jelena.majstorovic.za@gmail.com","(019)429744","http://sosojelenamajstorovic.edu.rs","7148208","101328871","1968-04-14","Специјалне школе","Државно","16","0","67","22","0","54","43","28.127800","60","45.127800"
"40.","1293","Косовска Митровица","Косовско-митровачки управни округ","Косовска Митровица","Косовска Митровица","Школа за основно и средње образовање Косовски божур","Филипа Вишњића бб","38220","sosokosovskibozur@hotmail.com","(028)425371","http://www.sajt.com","9046020","102235549","1989-06-12","Специјалне школе","Државно","19","0","47","16","12","36","26","28.639500","38","40.739500"
"41.","1318","Крагујевац","Шумадијски управни округ","Крагујевац - град","Крагујевац","Школа за основно и средње образовање Вукашин Марковић","Јанка Веселиновића бб","34000","sosokg@sbb.rs","(034)331678","http://www.sosovukasinmarkovickg.edu.rs","7151357","101577008","1969-06-01","Специјалне школе","Државно","16","0","107","27","12","95","27","25.750000","47","45.350000"
"42.","1319","Нови Сад","Јужнобачки управни округ","Нови Сад","Нови Сад","Школа за основно и средње образовање Милан Петровић","Браће Рибникар 32","21000","skolamp@eunet.rs","(021)6616366","http://smp.edu.rs","8067007","101700275","1958-01-23","Специјалне школе","Државно","79","0","514","186","22","489","227","222.350000","309","304.350000"
"43.","1849","Београд","Град Београд","Београд - Раковица","Београд (Раковица)","Средња занатска школа","Вукасовићева 21а","11090","srednjazanatska@gmail.com","(011)3594014","http://srednjazanatska.edu.rs","7004036","100166887","1968-05-30","Специјалне школе","Државно","30","0","246","78","0","120","50","46.016600","74","71.794400"
"44.","1853","Ваљево","Мачвански управни округ","Шабац - град","Шабац","Свети Сава","Драгише Пењина 31","15000","specskolasa@mts.rs","(015)341129","http://www.skola-svetisava.edu.rs","7171277","102357076","1973-09-01","Специјалне школе","Државно","11","0","50","17","0","42","22","19.380000","30","26.970000"
